,index,rating,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count
183,183,3.96,133.0,75.0,39.0,18.0,23.0
184,184,4.09,2341.0,878.0,607.0,230.0,289.0
185,185,4.06,526.0,202.0,147.0,46.0,77.0
186,186,3.4,5.0,3.0,2.0,3.0,2.0
187,187,3.8,3.0,0.0,1.0,0.0,1.0
188,188,3.99,41.0,7.0,10.0,7.0,6.0
189,189,5.0,,,,,
190,190,3.61,2245.0,1059.0,999.0,562.0,776.0
191,191,4.31,1314.0,374.0,208.0,73.0,103.0
192,192,3.49,16.0,11.0,10.0,5.0,7.0
193,193,3.69,396.0,161.0,128.0,78.0,131.0
194,194,3.64,155.0,65.0,51.0,25.0,61.0
195,195,4.0,2.0,2.0,2.0,0.0,0.0
196,196,3.38,195.0,93.0,92.0,49.0,113.0
197,197,3.7,1070.0,460.0,373.0,181.0,357.0
198,198,3.01,57.0,25.0,43.0,23.0,57.0
199,199,3.67,94.0,32.0,40.0,23.0,26.0
200,200,4.17,295.0,108.0,36.0,23.0,43.0
201,201,4.16,747.0,317.0,172.0,66.0,76.0
202,202,3.84,951.0,368.0,285.0,144.0,230.0
203,203,2.81,5.0,2.0,4.0,4.0,6.0
204,204,3.61,31.0,14.0,8.0,6.0,13.0
205,205,3.67,9.0,8.0,5.0,2.0,3.0
206,206,3.45,383.0,181.0,188.0,109.0,184.0
207,207,3.18,174.0,96.0,97.0,69.0,137.0
208,208,4.02,308.0,90.0,69.0,39.0,50.0
209,209,4.29,1074.0,324.0,191.0,73.0,79.0
210,210,3.71,802.0,331.0,255.0,146.0,258.0
211,211,3.7,70.0,32.0,26.0,10.0,24.0
212,212,5.0,2.0,0.0,0.0,0.0,0.0
213,213,3.61,6.0,5.0,4.0,0.0,3.0
214,214,3.76,4663.0,2418.0,1868.0,842.0,1271.0
215,215,4.17,1834.0,691.0,340.0,140.0,224.0
216,216,5.0,,,,,
217,217,2.0,0.0,0.0,0.0,1.0,0.0
218,218,4.57,5.0,1.0,1.0,0.0,0.0
219,219,3.16,186.0,104.0,97.0,52.0,163.0
220,220,3.96,17.0,0.0,2.0,2.0,4.0
221,221,4.44,13.0,3.0,0.0,1.0,1.0
222,222,3.91,334.0,106.0,94.0,41.0,71.0
223,223,4.06,109.0,37.0,25.0,6.0,20.0
224,224,3.52,9.0,3.0,4.0,5.0,2.0
225,225,4.26,469.0,174.0,88.0,30.0,37.0
226,226,4.0,5.0,0.0,1.0,2.0,0.0
227,227,4.03,295.0,119.0,87.0,42.0,36.0
228,228,4.1,496.0,209.0,124.0,49.0,61.0
229,229,3.77,22.0,8.0,9.0,3.0,6.0
230,230,4.0,3.0,1.0,1.0,1.0,0.0
231,231,3.84,659.0,287.0,219.0,112.0,149.0
232,232,4.23,658.0,217.0,131.0,33.0,70.0
233,233,3.67,261.0,140.0,109.0,43.0,93.0
234,234,3.5,158.0,67.0,74.0,41.0,69.0
235,235,3.46,16.0,8.0,2.0,4.0,9.0
236,236,4.21,60.0,20.0,13.0,5.0,5.0
237,237,3.6,243.0,90.0,88.0,59.0,89.0
238,238,4.28,1064.0,353.0,184.0,65.0,88.0
239,239,2.75,3.0,0.0,1.0,0.0,4.0
240,240,3.9,9.0,7.0,2.0,0.0,3.0
241,241,4.5,4.0,1.0,1.0,0.0,0.0
242,242,3.45,491.0,217.0,228.0,145.0,231.0
243,243,3.99,1428.0,522.0,385.0,171.0,247.0
244,244,4.09,897.0,289.0,149.0,74.0,152.0
245,245,3.54,5.0,3.0,1.0,2.0,2.0
246,246,3.33,1.0,1.0,0.0,0.0,1.0
247,247,4.01,69.0,25.0,23.0,10.0,8.0
248,248,5.0,,,,,
249,249,4.0,103.0,59.0,33.0,7.0,19.0
250,250,3.85,572.0,183.0,153.0,62.0,154.0
251,251,3.98,6862.0,2836.0,2131.0,901.0,1059.0
252,252,4.05,43.0,18.0,11.0,2.0,8.0
253,253,3.91,7.0,1.0,0.0,1.0,2.0
254,254,3.14,8.0,6.0,3.0,4.0,7.0
255,255,3.64,4.0,4.0,0.0,1.0,2.0
256,256,3.96,2138.0,667.0,637.0,255.0,385.0
257,257,3.71,378.0,190.0,143.0,80.0,112.0
258,258,4.0,4.0,3.0,2.0,1.0,0.0
259,259,3.45,504.0,299.0,211.0,129.0,269.0
260,260,3.57,111.0,64.0,63.0,33.0,38.0
261,261,3.5,81.0,44.0,42.0,14.0,41.0
262,262,3.29,13.0,5.0,8.0,4.0,8.0
263,263,3.85,1352.0,574.0,443.0,227.0,296.0
264,264,4.19,2077.0,783.0,446.0,192.0,181.0
265,265,4.5,82.0,17.0,7.0,3.0,4.0
266,266,3.25,2.0,2.0,6.0,1.0,1.0
267,267,4.0,3.0,0.0,0.0,0.0,1.0
268,268,4.22,1646.0,632.0,324.0,126.0,150.0
269,269,3.39,268.0,129.0,155.0,102.0,129.0
270,270,3.72,281.0,151.0,114.0,61.0,80.0
271,271,4.17,1415.0,448.0,305.0,116.0,156.0
